Date,Open,High,Low,Close,Adj Close,Volume
2021-03-05,353.882202,411.688995,351.510986,353.560211,353.560211,52225
2021-03-06,353.563629,783.433350,304.075226,385.862671,385.862671,830522
2021-03-07,385.861115,424.322083,335.222687,354.860626,354.860626,68658
2021-03-08,354.844635,507.940033,349.266815,495.157410,495.157410,250975
2021-03-09,495.191803,533.454468,421.637085,527.504883,527.504883,169623
2021-03-10,527.510376,663.799133,452.432129,462.726959,462.726959,263204
2021-03-11,462.731506,588.971985,456.270203,542.023865,542.023865,165837
2021-03-12,542.029358,725.184448,514.029968,604.112854,604.112854,552294
2021-03-13,604.095215,684.439575,556.078857,632.593140,632.593140,266870
2021-03-14,632.603699,702.603821,608.356323,689.743225,689.743225,350304
2021-03-15,689.753723,787.340393,629.874023,682.246277,682.246277,401510
2021-03-16,682.233948,703.891418,565.473633,638.864014,638.864014,239731
2021-03-17,638.874817,671.438660,559.843384,619.148254,619.148254,220586
2021-03-18,619.270264,656.889099,583.459534,610.175903,610.175903,86102
2021-03-19,610.258850,645.630432,560.689148,596.002197,596.002197,168947
2021-03-20,596.407104,658.102051,531.514832,557.181274,557.181274,164759
2021-03-21,556.269043,570.558350,484.257568,535.716309,535.716309,92246
2021-03-22,537.391052,606.919556,511.832550,513.275024,513.275024,82976
2021-03-23,513.150391,521.939453,471.180969,506.955170,506.955170,48921
2021-03-24,506.653778,592.141052,497.781097,543.640991,543.640991,82322
2021-03-25,542.787903,543.735046,471.801819,496.432373,496.432373,59278
2021-03-26,496.240753,547.232605,473.346802,533.469604,533.469604,42731
2021-03-27,532.924683,584.459595,530.878601,541.812622,541.812622,31621
2021-03-28,541.815735,631.903076,534.394592,600.351257,600.351257,146036
2021-03-29,600.391602,728.297241,599.665283,659.772400,659.772400,34637
2021-03-30,659.814148,694.484192,636.244690,659.559021,659.559021,53753
2021-03-31,659.406799,697.492737,639.786438,668.782532,668.782532,16782
2021-04-01,667.151672,686.398987,622.693359,629.654785,629.654785,64341
2021-04-02,633.216248,696.116150,620.341125,687.948425,687.948425,23858
2021-04-03,689.700012,699.069031,593.466553,597.194946,597.194946,44382
2021-04-04,595.152283,645.805420,588.500549,603.974060,603.974060,48987
2021-04-05,603.361267,659.145935,570.401794,617.335388,617.335388,44861
2021-04-06,617.796509,686.659180,617.253845,628.485352,628.485352,236994
2021-04-07,628.465820,630.446167,530.172485,593.730164,593.730164,76718
2021-04-08,591.709290,677.294678,581.906494,648.292786,648.292786,114059
