,Date,Number of sales,Sales USD,Average USD,Active market wallets,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers
102,2017-10-02,0,0.0,,0,0,0,0.0,0.0,0,0
103,2017-10-03,0,0.0,,0,0,0,0.0,0.0,0,0
104,2017-10-04,1,58.61,58.61,2,0,1,0.0,58.61,1,1
105,2017-10-05,0,0.0,,0,0,0,0.0,0.0,0,0
106,2017-10-06,0,0.0,,0,0,0,0.0,0.0,0,0
107,2017-10-07,0,0.0,,0,0,0,0.0,0.0,0,0
108,2017-10-08,1,93.04,93.04,2,0,1,0.0,93.04,1,1
109,2017-10-09,1,26.63,26.63,2,0,1,0.0,26.63,1,1
110,2017-10-10,0,0.0,,0,0,0,0.0,0.0,0,0
111,2017-10-11,1,66.71,66.71,2,0,1,0.0,66.71,1,1
112,2017-10-12,1,39.26,39.26,2,0,1,0.0,39.26,1,1
113,2017-10-13,4,354.85,88.71,8,0,4,0.0,354.85,4,4
114,2017-10-14,4,254.86,63.71,3,0,4,0.0,254.86,2,1
115,2017-10-15,3,177.76,59.25,4,0,3,0.0,177.76,2,2
116,2017-10-16,2,179.26,89.63,3,0,2,0.0,179.26,2,1
117,2017-10-17,0,0.0,,0,0,0,0.0,0.0,0,0
118,2017-10-18,0,0.0,,0,0,0,0.0,0.0,0,0
119,2017-10-19,1,27.76,27.76,2,0,1,0.0,27.76,1,1
120,2017-10-20,1,96.75,96.75,2,0,1,0.0,96.75,1,1
121,2017-10-21,1,78.18,78.18,2,0,1,0.0,78.18,1,1
122,2017-10-22,0,0.0,,0,0,0,0.0,0.0,0,0
123,2017-10-23,0,0.0,,0,0,0,0.0,0.0,0,0
124,2017-10-24,0,0.0,,0,0,0,0.0,0.0,0,0
125,2017-10-25,1,44.77,44.77,2,0,1,0.0,44.77,1,1
126,2017-10-26,7,268.92,38.42,5,0,7,0.0,268.92,4,1
127,2017-10-27,6,178.76,29.79,3,0,6,0.0,178.76,2,1
128,2017-10-28,6,177.88,29.65,3,0,6,0.0,177.88,2,1
129,2017-10-29,1,21.26,21.26,2,0,1,0.0,21.26,1,1
130,2017-10-30,3,217.44,72.48,6,0,3,0.0,217.44,3,3
131,2017-10-31,6,221.59,36.93,5,0,6,0.0,221.59,3,2
132,2017-11-01,4,111.09,27.77,3,0,4,0.0,111.09,1,2
133,2017-11-02,3,111.96,37.32,4,0,3,0.0,111.96,2,2
134,2017-11-03,0,0.0,,0,0,0,0.0,0.0,0,0
135,2017-11-04,3,86.99,29.0,4,0,3,0.0,86.99,2,2
136,2017-11-05,0,0.0,,0,0,0,0.0,0.0,0,0
137,2017-11-06,0,0.0,,0,0,0,0.0,0.0,0,0
138,2017-11-07,1,265.71,265.71,2,0,1,0.0,265.71,1,1
139,2017-11-08,0,0.0,,0,0,0,0.0,0.0,0,0
140,2017-11-09,2,148.27,74.14,2,0,2,0.0,148.27,1,1
141,2017-11-10,0,0.0,,0,0,0,0.0,0.0,0,0
142,2017-11-11,0,0.0,,0,0,0,0.0,0.0,0,0
143,2017-11-12,1,91.11,91.11,2,0,1,0.0,91.11,1,1
144,2017-11-13,2,63.07,31.53,4,0,2,0.0,63.07,2,2
145,2017-11-14,1,67.79,67.79,2,0,1,0.0,67.79,1,1
