,Date,ADA_close,AVAX_close,FLOW_close,MANA_close,MATIC_close,SOL_close,TFUEL_close,Number of sales,Sales USD,Average USD,Active market wallets,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers
0,2017-10-02,0.025808402,1.005247408914533,0.3917809171987642,0.0044874008757868,0.001743490643555,0.3918106584864201,0.0035890568547865,0,0.0,,0,0,0,0.0,0.0,0,0
1,2017-10-03,0.020826864,0.8328664832723278,0.3245978968231137,0.0037178964634043,0.0014445149602363,0.3246225380422188,0.0029736014581109,0,0.0,,0,0,0,0.0,0.0,0,0
2,2017-10-04,0.021973245,0.8328823903341311,0.3246040963747941,0.0037179674721554,0.0014445425492788,0.3246287380645262,0.0029736582514423,1,58.61,58.61,2,0,1,0.0,58.61,1,1
3,2017-10-05,0.021512368,0.7836718080707328,0.3054249700382659,0.0034982925861637,0.0013591922275776,0.3054481557818599,0.002797960631101,0,0.0,,0,0,0,0.0,0.0,0,0
4,2017-10-06,0.018481458,0.7336381580986807,0.2859250647383169,0.0032749435452089,0.0012724143858089,0.2859467701844607,0.0026193243940815,0,0.0,,0,0,0,0.0,0.0,0,0
5,2017-10-07,0.020780847,0.7941187463622054,0.309496516037247,0.0035449274738766,0.0013773112886201,0.3095200108643502,0.0028352595638355,0,0.0,,0,0,0,0.0,0.0,0,0
6,2017-10-08,0.020400874,0.7954816722547805,0.3100276970694305,0.0035510115431214,0.0013796751331031,0.3100512322201105,0.0028401256480192,1,93.04,93.04,2,0,1,0.0,93.04,1,1
7,2017-10-09,0.022086171,0.8332067912935949,0.3247305270467976,0.0037194155904362,0.0014451051869265,0.3247551783342687,0.0029748164672974,1,26.63,26.63,2,0,1,0.0,26.63,1,1
8,2017-10-10,0.021504705,0.8239899009231818,0.3211383747756069,0.0036782716078172,0.0014291195081961,0.3211627533718128,0.0029419092016129,0,0.0,,0,0,0,0.0,0.0,0,0
9,2017-10-11,0.022481946,0.8749427974127544,0.3409965433653413,0.003905724143684,0.0015174916815574,0.3410224294558595,0.00312382744462,1,66.71,66.71,2,0,1,0.0,66.71,1,1
10,2017-10-12,0.026489934,0.9720589937212324,0.3788462031875689,0.0043392485681223,0.0016859290016638,0.3788749625615243,0.0034705635286733,1,39.26,39.26,2,0,1,0.0,39.26,1,1
11,2017-10-13,0.033616608,1.1430359493237396,0.4454820461569467,0.0051024856911491,0.001982469653958,0.4455158640615425,0.0040810063003471,4,354.85,88.71,8,0,4,0.0,354.85,4,4
12,2017-10-14,0.031810871,1.1046814703304244,0.4305339320654043,0.0049312721957462,0.0019159480447797,0.4305666152129418,0.0039440684634305,4,254.86,63.71,3,0,4,0.0,254.86,2,1
13,2017-10-15,0.029941374,1.0656094797484477,0.4153061780107905,0.0047568557454262,0.0018481819909698,0.4153377051729447,0.0038045688791642,3,177.76,59.25,4,0,3,0.0,177.76,2,2
14,2017-10-16,0.028579797,1.0456564273177842,0.407529758879662,0.0046677857869682,0.0018135756245025,0.4075606957100564,0.0037333300587851,2,179.26,89.63,3,0,2,0.0,179.26,2,1
15,2017-10-17,0.027374196,1.068883977878207,0.4165823672048796,0.0047714730283407,0.0018538612464456,0.4166139912464587,0.0038162598915999,0,0.0,,0,0,0,0.0,0.0,0,0
16,2017-10-18,0.026707198,1.0389033149797229,0.4048978291454595,0.0046376400517478,0.0018018630967488,0.4049285661780183,0.0037092192738051,0,0.0,,0,0,0,0.0,0.0,0,0
17,2017-10-19,0.026861991,1.043386406135455,0.4066450503263378,0.0046576524656074,0.0018096385233899,0.4066759199958002,0.0037252253524087,1,27.76,27.76,2,0,1,0.0,27.76,1,1
18,2017-10-20,0.030604809,1.1822212531731306,0.4607539624500748,0.0052774079692394,0.0020504322371195,0.4607889396925444,0.0042209104494554,1,96.75,96.75,2,0,1,0.0,96.75,1,1
19,2017-10-21,0.028547658,1.1498080863113342,0.4481213904784211,0.0051327163519592,0.0019942151778659,0.4481554087437166,0.0041051850094503,1,78.18,78.18,2,0,1,0.0,78.18,1,1
20,2017-10-22,0.027927592,1.0634381412643432,0.4144599296391881,0.0047471629413177,0.001844416044102,0.4144913925600403,0.0037968165017879,0,0.0,,0,0,0,0.0,0.0,0,0
