date,open,high,low,close,volume,dividend,ratio
2017-10-02,0.02497,0.030088,0.019969,0.025808,83100300.0,0.0,1
2017-10-03,0.025671,0.027172,0.020575,0.020827,29714844.0,0.0,1
2017-10-04,0.020828,0.022962,0.020828,0.021973,12430134.0,0.0,1
2017-10-05,0.022035,0.022245,0.020839,0.021512,7055960.0,0.0,1
2017-10-06,0.021286,0.021576,0.018071,0.018481,6207887.0,0.0,1
2017-10-07,0.018434,0.021242,0.017537,0.020781,7932154.0,0.0,1
2017-10-08,0.020523,0.023132,0.020074,0.020401,7040566.0,0.0,1
2017-10-09,0.020448,0.022677,0.02027,0.022086,6199155.0,0.0,1
2017-10-10,0.022062,0.02227,0.020643,0.021505,3731445.0,0.0,1
2017-10-11,0.021576,0.022606,0.021093,0.022482,3214229.0,0.0,1
2017-10-12,0.022499,0.02694,0.021775,0.02649,5195256.0,0.0,1
2017-10-13,0.02634,0.034054,0.024947,0.033617,11818035.0,0.0,1
2017-10-14,0.033554,0.037958,0.029582,0.031811,28040339.0,0.0,1
2017-10-15,0.032301,0.033622,0.028739,0.029941,13124021.0,0.0,1
2017-10-16,0.029949,0.030659,0.028426,0.02858,6067591.0,0.0,1
2017-10-17,0.028709,0.029289,0.024824,0.027374,7062989.0,0.0,1
2017-10-18,0.027275,0.027486,0.024565,0.026707,3949209.0,0.0,1
2017-10-19,0.026675,0.026925,0.025733,0.026862,2353496.0,0.0,1
2017-10-20,0.026864,0.030821,0.026527,0.030605,6245008.0,0.0,1
2017-10-21,0.030487,0.030873,0.028117,0.028548,7191765.0,0.0,1
2017-10-22,0.028547,0.028785,0.027101,0.027928,3509342.0,0.0,1
2017-10-23,0.027839,0.028216,0.024394,0.025933,2959448.0,0.0,1
2017-10-24,0.025676,0.029091,0.024114,0.027303,7692666.0,0.0,1
2017-10-25,0.02708,0.027869,0.026124,0.027481,3596490.0,0.0,1
2017-10-26,0.027344,0.027485,0.026423,0.027193,2307320.0,0.0,1
2017-10-27,0.027195,0.027345,0.025708,0.026331,2527814.0,0.0,1
2017-10-28,0.026432,0.026817,0.025553,0.025977,2072031.0,0.0,1
2017-10-29,0.025985,0.029387,0.025779,0.028397,3060250.0,0.0,1
2017-10-30,0.028293,0.028732,0.027374,0.028343,4470267.0,0.0,1
2017-10-31,0.028313,0.030558,0.027893,0.030537,5367289.0,0.0,1
2017-11-01,0.03043,0.03043,0.023301,0.023359,8574031.0,0.0,1
2017-11-02,0.023105,0.025136,0.018408,0.021463,6527970.0,0.0,1
2017-11-03,0.021399,0.023211,0.019945,0.022775,4234884.0,0.0,1
2017-11-04,0.022784,0.023835,0.02188,0.022038,2684275.0,0.0,1
2017-11-05,0.022111,0.023007,0.021616,0.021961,2109922.0,0.0,1
2017-11-06,0.020739,0.023879,0.020699,0.022052,3397539.0,0.0,1
2017-11-07,0.022127,0.023568,0.021681,0.022296,4117205.0,0.0,1
2017-11-08,0.022057,0.026683,0.021821,0.025155,3248413.0,0.0,1
2017-11-09,0.025177,0.035024,0.025062,0.032665,15435339.0,0.0,1
2017-11-10,0.032527,0.03335,0.026469,0.027287,12590931.0,0.0,1
2017-11-11,0.026955,0.029955,0.025679,0.027333,5727838.0,0.0,1
2017-11-12,0.027261,0.027774,0.022706,0.024515,6955831.0,0.0,1
2017-11-13,0.024554,0.026609,0.024029,0.025775,5437418.0,0.0,1
2017-11-14,0.026083,0.026941,0.025517,0.026323,3992382.0,0.0,1
2017-11-15,0.026391,0.028024,0.025517,0.026659,4061906.0,0.0,1
2017-11-16,0.026776,0.028179,0.026005,0.027723,6559637.0,0.0,1
2017-11-17,0.027589,0.027589,0.025283,0.025461,4219945.0,0.0,1
2017-11-18,0.025735,0.027105,0.024662,0.026375,3100118.0,0.0,1
2017-11-19,0.026279,0.028399,0.025607,0.028,3450753.0,0.0,1
2017-11-20,0.028051,0.031846,0.027675,0.029416,13099865.0,0.0,1
2017-11-21,0.029475,0.029673,0.027497,0.028436,9013639.0,0.0,1
2017-11-22,0.0283,0.029072,0.027991,0.028578,4718181.0,0.0,1
2017-11-23,0.028626,0.028701,0.027555,0.027555,5148824.0,0.0,1
2017-11-24,0.027597,0.028741,0.027232,0.028348,5248453.0,0.0,1
2017-11-25,0.02843,0.030519,0.027862,0.030519,6021040.0,0.0,1
2017-11-26,0.030662,0.039549,0.030326,0.035759,15196798.0,0.0,1
2017-11-27,0.036745,0.055918,0.036664,0.050744,69218506.0,0.0,1
2017-11-28,0.051144,0.134492,0.048541,0.120878,120500841.0,0.0,1
2017-11-29,0.123054,0.151001,0.080605,0.091985,371729568.0,0.0,1
2017-11-30,0.093344,0.131175,0.093344,0.122797,137983647.0,0.0,1
2017-12-01,0.121991,0.13156,0.115665,0.130919,113264299.0,0.0,1
2017-12-02,0.131494,0.141014,0.130731,0.133987,66719621.0,0.0,1
2017-12-03,0.133554,0.138828,0.127905,0.132972,49249288.0,0.0,1
2017-12-04,0.133233,0.142153,0.128249,0.135653,59861912.0,0.0,1
2017-12-05,0.135825,0.136222,0.128382,0.129202,58611018.0,0.0,1
2017-12-06,0.12906,0.137173,0.115796,0.119855,59627832.0,0.0,1
2017-12-07,0.119921,0.128536,0.110548,0.110885,69705942.0,0.0,1
2017-12-08,0.109841,0.12297,0.101896,0.117556,63832011.0,0.0,1
2017-12-09,0.117425,0.141522,0.115,0.120803,66185913.0,0.0,1
2017-12-10,0.120848,0.120848,0.099644,0.111121,55710985.0,0.0,1
2017-12-11,0.109791,0.121759,0.109791,0.120887,38996290.0,0.0,1
2017-12-12,0.121809,0.134577,0.109767,0.130403,44173453.0,0.0,1
2017-12-13,0.130718,0.137025,0.119341,0.132195,62372261.0,0.0,1
2017-12-14,0.132533,0.225641,0.129964,0.225641,131370638.0,0.0,1
2017-12-15,0.226711,0.226711,0.189692,0.214174,330561312.0,0.0,1
2017-12-16,0.214215,0.436144,0.20521,0.405466,288706999.0,0.0,1
2017-12-17,0.400896,0.555615,0.374669,0.477965,838454736.0,0.0,1
2017-12-18,0.486178,0.515875,0.462889,0.515875,367073084.0,0.0,1
2017-12-19,0.518584,0.596447,0.506889,0.536282,322488127.0,0.0,1
2017-12-20,0.536063,0.538773,0.44927,0.490121,181053074.0,0.0,1
2017-12-21,0.486254,0.523556,0.443741,0.474321,169579852.0,0.0,1
2017-12-22,0.479054,0.479054,0.296147,0.406009,136146184.0,0.0,1
2017-12-23,0.407292,0.440749,0.392741,0.403361,116703240.0,0.0,1
2017-12-24,0.404562,0.404562,0.332944,0.385976,73553635.0,0.0,1
2017-12-25,0.383161,0.439734,0.355275,0.414036,85944537.0,0.0,1
2017-12-26,0.415072,0.435953,0.403846,0.435953,113491221.0,0.0,1
2017-12-27,0.434115,0.438404,0.397635,0.419854,84160239.0,0.0,1
2017-12-28,0.418581,0.422659,0.369505,0.411106,80527179.0,0.0,1
2017-12-29,0.412448,0.559057,0.402623,0.528676,149142060.0,0.0,1
2017-12-30,0.528465,0.7428,0.474749,0.632473,529985124.0,0.0,1
2017-12-31,0.627744,0.761602,0.627744,0.7223,488590584.0,0.0,1
2018-01-01,0.719072,0.731872,0.668279,0.731872,162378780.0,0.0,1
2018-01-02,0.73254,0.808826,0.699959,0.784925,200058728.0,0.0,1
2018-01-03,0.78475,1.10166,0.78475,1.072059,510151727.0,0.0,1
2018-01-04,1.090237,1.325912,1.02701,1.112179,685553317.0,0.0,1
