date,open,high,low,close,volume,dividend,ratio
2017-10-02,1.434085,1.651371,0.838041,1.005247,68623305.0,0.0,1
2017-10-03,1.483199,1.533782,0.821206,0.832866,24629072.0,0.0,1
2017-10-04,1.231353,1.298781,0.80459,0.832882,10353868.0,0.0,1
2017-10-05,1.233344,1.223087,0.763289,0.783672,5950325.0,0.0,1
2017-10-06,1.14998,1.199231,0.703028,0.733638,5211564.0,0.0,1
2017-10-07,1.083523,1.182188,0.71128,0.794119,6649697.0,0.0,1
2017-10-08,1.165564,1.257719,0.779947,0.795482,5938584.0,0.0,1
2017-10-09,1.178627,1.264892,0.789444,0.833207,5330007.0,0.0,1
2017-10-10,1.22878,1.227927,0.784012,0.82399,3288744.0,0.0,1
2017-10-11,1.216702,1.285608,0.801203,0.874943,2885128.0,0.0,1
2017-10-12,1.290947,1.458721,0.846284,0.972059,4526567.0,0.0,1
2017-10-13,1.431002,1.706003,0.928247,1.143036,9946252.0,0.0,1
2017-10-14,1.688164,1.860475,1.033764,1.104681,23214625.0,0.0,1
2017-10-15,1.6513,1.694597,1.030804,1.065609,11049558.0,0.0,1
2017-10-16,1.575184,1.620995,1.03171,1.045656,5327449.0,0.0,1
2017-10-17,1.546755,1.722819,0.944991,1.068884,6609028.0,0.0,1
2017-10-18,1.569752,1.585477,0.985167,1.038903,3774346.0,0.0,1
2017-10-19,1.540583,1.538816,1.012955,1.043386,2180220.0,0.0,1
2017-10-20,1.54493,1.749077,1.041116,1.182221,5437270.0,0.0,1
2017-10-21,1.744245,1.820438,1.101803,1.149808,6369326.0,0.0,1
2017-10-22,1.702795,1.712549,1.038711,1.063438,3555972.0,0.0,1
2017-10-23,1.571241,1.607502,0.946203,1.008952,2755880.0,0.0,1
2017-10-24,1.481683,1.613712,0.952948,1.056868,6505602.0,0.0,1
2017-10-25,1.55452,1.613102,1.028863,1.092439,3188324.0,0.0,1
2017-10-26,1.608629,1.653867,1.061517,1.089557,2240326.0,0.0,1
2017-10-27,1.619594,1.632929,1.056931,1.092837,2555771.0,0.0,1
2017-10-28,1.618612,1.819408,1.067168,1.215995,2654477.0,0.0,1
2017-10-29,1.783725,4.23594,1.173992,2.176994,15762394.0,0.0,1
2017-10-30,3.206538,4.958819,2.029613,2.233549,91573511.0,0.0,1
2017-10-31,3.337561,3.404592,1.783067,2.010544,46434517.0,0.0,1
2017-11-01,2.98315,3.224039,1.74857,1.899683,22027447.0,0.0,1
2017-11-02,2.815452,4.088472,1.778073,2.352312,38729286.0,0.0,1
2017-11-03,3.545962,3.928563,2.172803,2.36857,36553382.0,0.0,1
2017-11-04,3.499267,4.220659,2.350029,2.540063,29808675.0,0.0,1
2017-11-05,3.784242,5.285838,2.515468,3.485082,49953944.0,0.0,1
2017-11-06,5.18025,6.050656,3.129055,3.591094,77654570.0,0.0,1
2017-11-07,5.361584,5.451803,2.996879,3.138236,53055456.0,0.0,1
2017-11-08,4.653618,5.140791,2.939344,3.013543,36841256.0,0.0,1
2017-11-09,4.554478,5.219377,3.017949,3.392039,40173813.0,0.0,1
2017-11-10,5.005404,5.533606,3.062539,3.515944,30048697.0,0.0,1
2017-11-11,5.168334,5.603995,3.119729,3.270954,30370795.0,0.0,1
2017-11-12,4.851248,5.644926,2.938451,3.510873,24207257.0,0.0,1
2017-11-13,5.131673,5.502976,3.087331,3.28693,32815731.0,0.0,1
2017-11-14,4.894213,4.898643,2.263372,2.791772,15584812.0,0.0,1
2017-11-15,4.170892,4.567043,2.701074,2.799741,12192033.0,0.0,1
2017-11-16,4.232883,4.222051,2.466058,2.728242,14982569.0,0.0,1
2017-11-17,4.054059,4.326709,2.681291,2.86345,17861942.0,0.0,1
2017-11-18,4.226837,4.476248,2.666446,2.764548,20356039.0,0.0,1
2017-11-19,4.134036,4.344358,2.625982,2.731464,18003846.0,0.0,1
2017-11-20,4.029836,4.364056,2.541257,2.896128,28580218.0,0.0,1
2017-11-21,4.286676,4.546531,2.824811,2.919673,28894018.0,0.0,1
2017-11-22,4.31085,4.700318,2.779824,3.090555,25704899.0,0.0,1
2017-11-23,4.566304,4.839343,2.962965,3.188639,25418370.0,0.0,1
2017-11-24,4.70415,4.859966,3.007522,3.152874,23765771.0,0.0,1
2017-11-25,4.66556,5.146739,3.160267,3.323336,30891527.0,0.0,1
2017-11-26,4.92521,7.964909,3.21585,4.690145,60022094.0,0.0,1
2017-11-27,6.964374,9.445816,4.438488,6.164275,125239194.0,0.0,1
2017-11-28,9.036968,12.249164,5.032695,7.024443,144392505.0,0.0,1
2017-11-29,10.492607,12.155959,6.090699,6.733295,341505086.0,0.0,1
2017-11-30,9.988609,14.032133,6.795881,8.739446,170691433.0,0.0,1
2017-12-01,12.874953,13.333291,7.018968,8.901467,162358006.0,0.0,1
2017-12-02,13.162309,15.48108,8.936291,9.429249,126125791.0,0.0,1
2017-12-03,13.954743,14.258541,8.11709,8.419865,94859778.0,0.0,1
2017-12-04,12.528465,12.699971,7.212655,7.612768,85665301.0,0.0,1
2017-12-05,11.300951,11.982979,7.329959,7.6933,76814065.0,0.0,1
2017-12-06,11.398101,11.948432,7.260928,7.337652,75204380.0,0.0,1
2017-12-07,10.857794,11.050009,6.240899,6.46794,80277091.0,0.0,1
2017-12-08,9.512687,10.333268,5.830484,6.18136,71583381.0,0.0,1
2017-12-09,9.142403,10.067581,4.927074,5.307735,72918776.0,0.0,1
2017-12-10,7.809702,9.534257,4.603651,6.214388,66395748.0,0.0,1
2017-12-11,9.054989,9.660556,5.746508,6.178546,71220289.0,0.0,1
2017-12-12,9.184109,10.1465,5.656899,6.570386,67859193.0,0.0,1
2017-12-13,9.753569,10.386193,6.355052,6.925995,73962355.0,0.0,1
2017-12-14,10.25382,13.436171,6.103903,8.539538,133789854.0,0.0,1
2017-12-15,12.669604,13.267245,7.464341,8.245265,295113106.0,0.0,1
2017-12-16,12.196377,21.265912,8.004784,13.532967,272109965.0,0.0,1
2017-12-17,19.818559,25.06663,12.836285,15.29812,727426516.0,0.0,1
2017-12-18,22.65479,23.81102,14.835196,16.176041,327812633.0,0.0,1
2017-12-19,24.032495,26.587497,15.623046,16.535633,291149564.0,0.0,1
2017-12-20,24.433585,24.436244,14.35446,15.483115,167005582.0,0.0,1
2017-12-21,22.761148,23.966686,14.411999,15.113864,158967439.0,0.0,1
2017-12-22,22.526178,22.216044,10.485616,13.301363,136824976.0,0.0,1
2017-12-23,19.723078,20.796681,12.482543,12.674161,112768031.0,0.0,1
2017-12-24,18.801225,19.087981,10.910044,12.608518,70788336.0,0.0,1
2017-12-25,18.589796,20.378069,11.066634,12.657193,85659822.0,0.0,1
2017-12-26,18.739715,19.217002,11.638182,12.999107,100674709.0,0.0,1
2017-12-27,19.148619,19.441559,11.917989,12.888162,76366964.0,0.0,1
2017-12-28,19.018906,19.027506,11.316255,12.470329,74797675.0,0.0,1
2017-12-29,18.448844,23.586704,11.59336,14.71583,134427176.0,0.0,1
2017-12-30,21.76099,29.787419,13.196082,17.729605,440405767.0,0.0,1
2017-12-31,26.01181,31.330714,17.452865,20.192499,410744961.0,0.0,1
2018-01-01,29.722685,30.30536,18.968145,20.616126,149094144.0,0.0,1
2018-01-02,30.502439,33.523037,19.884132,22.30223,174341900.0,0.0,1
2018-01-03,32.97274,43.897261,22.019815,29.124093,424513684.0,0.0,1
2018-01-04,43.733686,51.919179,27.964336,30.212259,568494450.0,0.0,1
2018-01-05,45.961175,49.362053,25.537997,27.537063,387811637.0,0.0,1
2018-01-06,40.738432,42.321581,25.533886,27.881154,311429871.0,0.0,1
2018-01-07,41.272904,41.582221,27.205625,28.526772,203689420.0,0.0,1
2018-01-08,40.74483,46.116357,21.305587,25.399362,202446750.0,0.0,1
2018-01-09,37.633796,43.519143,22.642808,23.327564,195412638.0,0.0,1
2018-01-10,34.438053,35.560412,19.883411,22.68551,188850942.0,0.0,1
2018-01-11,33.672442,33.278663,16.661259,19.977113,199334750.0,0.0,1
2018-01-12,29.609531,38.462223,19.016713,25.300967,196819996.0,0.0,1
2018-01-13,37.628561,39.530801,23.586086,24.723491,357447661.0,0.0,1
2018-01-14,36.390332,36.051878,20.779198,22.355991,158705578.0,0.0,1
2018-01-15,33.123993,35.705216,21.736393,21.818307,179994138.0,0.0,1
2018-01-16,32.30731,32.332138,13.985686,18.061294,144543084.0,0.0,1
2018-01-17,26.316431,28.486571,13.380028,18.144814,139810528.0,0.0,1
2018-01-18,26.783029,29.056845,17.117701,18.637875,159919920.0,0.0,1
2018-01-19,27.475879,28.554856,17.460423,18.697041,103092364.0,0.0,1
2018-01-20,27.8126,30.63932,18.79089,20.360217,96482910.0,0.0,1
2018-01-21,30.025813,29.714399,17.084323,17.662809,67734651.0,0.0,1
2018-01-22,26.223542,26.679594,15.442892,16.845159,57719915.0,0.0,1
2018-01-23,24.806354,25.183499,15.548102,16.473571,55775523.0,0.0,1
2018-01-24,24.522916,24.319979,16.670677,16.612851,56523903.0,0.0,1
2018-01-25,26.913808,28.644107,17.081296,18.534791,123707423.0,0.0,1
2018-01-26,27.381367,27.495524,16.767056,17.986659,80003806.0,0.0,1
2018-01-27,26.795867,27.083484,17.380885,17.869679,55840450.0,0.0,1
2018-01-28,26.591218,27.408391,17.577159,18.052049,43375666.0,0.0,1
2018-01-29,26.697916,27.181113,16.793335,16.847873,49729142.0,0.0,1
2018-01-30,24.90473,25.082301,14.208719,14.483919,49511793.0,0.0,1
2018-01-31,21.450952,23.445528,13.552979,14.311608,60964810.0,0.0,1
2018-02-01,21.200313,21.85294,11.458694,12.300932,54945381.0,0.0,1
2018-02-02,18.091987,18.098269,8.249082,11.952359,100344905.0,0.0,1
2018-02-03,17.681478,21.352822,10.598191,13.561461,130365273.0,0.0,1
2018-02-04,19.916006,20.720933,11.02924,11.592393,101952626.0,0.0,1
2018-02-05,16.940953,17.074002,8.982945,9.784598,62966211.0,0.0,1
2018-02-06,14.547248,17.098464,8.47404,11.418145,79915538.0,0.0,1
2018-02-07,16.717069,17.172036,10.118486,10.267951,75131945.0,0.0,1
2018-02-08,15.191024,16.126848,9.905156,10.633911,53491300.0,0.0,1
2018-02-09,15.762018,16.950032,10.127144,11.529547,35040168.0,0.0,1
2018-02-10,16.964594,18.927979,11.128388,11.715509,71729013.0,0.0,1
2018-02-11,17.359954,17.370923,10.80098,10.997515,45578158.0,0.0,1
2018-02-12,16.269455,16.98994,10.849932,11.218093,36113965.0,0.0,1
2018-02-13,16.607467,16.595323,10.550449,10.971019,48048080.0,0.0,1
2018-02-14,16.25117,17.461279,10.967373,11.869151,50528911.0,0.0,1
2018-02-15,17.46244,17.929006,11.549873,11.90664,56193922.0,0.0,1
2018-02-16,17.513145,17.884871,11.236419,11.74202,47945914.0,0.0,1
2018-02-17,17.409709,18.44835,11.613733,12.092562,60551320.0,0.0,1
2018-02-18,17.914597,17.763869,11.009249,11.06071,58842959.0,0.0,1
2018-02-19,16.314359,16.689168,10.832789,10.967862,44220400.0,0.0,1
2018-02-20,16.19504,16.84087,10.392963,10.371196,51200455.0,0.0,1
2018-02-21,15.266346,16.859322,9.95687,10.039252,50224031.0,0.0,1
2018-02-22,14.817829,15.084788,9.274237,9.433064,45280679.0,0.0,1
2018-02-23,13.954725,14.848735,9.183652,9.716107,39889149.0,0.0,1
2018-02-24,14.367324,14.606928,9.079875,9.365575,33993081.0,0.0,1
2018-02-25,13.848419,14.895723,9.092831,9.733873,34553784.0,0.0,1
2018-02-26,14.475519,14.580599,9.27841,9.779146,70546211.0,0.0,1
2018-02-27,14.485184,15.194261,9.594269,9.81994,43730143.0,0.0,1
2018-02-28,14.482335,14.490655,9.251434,9.2778,41244986.0,0.0,1
2018-03-01,13.696241,14.150803,8.753445,9.150383,49461975.0,0.0,1
2018-03-02,13.518753,13.574308,8.749702,8.937126,52094252.0,0.0,1
2018-03-03,13.174411,13.951585,8.954891,9.065881,46751402.0,0.0,1
2018-03-04,13.442369,13.595321,8.886646,9.247587,38747156.0,0.0,1
2018-03-05,13.654991,14.428208,9.020971,9.306301,54287864.0,0.0,1
2018-03-06,13.750785,14.089818,8.940094,9.052084,56111905.0,0.0,1
2018-03-07,13.380296,13.573293,7.841371,8.297483,44036924.0,0.0,1
