Date,Open,High,Low,Close,Volume,Market Cap
2021-01-28,6.93612479501509,7.820694801,6.089595217864526,7.183794237,13631199.258990562,164142517.80859247
2021-01-29,7.092692165,7.252770561,6.260555652,6.417728597,3840669.835960053,156029487.1774203
2021-01-30,6.281279069,9.012873335,6.281279069,9.012873335,3217890.1283538486,167847469.1067352
2021-01-31,9.036052632,12.142787837,8.519166562,9.754809205,11347928.617285045,226458789.53549936
2021-02-01,9.749312245,12.159846042,9.620015813,9.79506322,14197358.725109568,256701974.04052797
2021-02-02,9.828938802,11.450941831,9.043248368,9.371657421,49740769.147733904,231389042.5204613
2021-02-03,9.357164109,9.607603318,8.888560528,8.888560528,52015525.06503954,216135807.0036987
2021-02-04,8.803210254,9.095733932,8.02679136,8.720108152,25416656.83069669,199770814.3778748
2021-02-05,8.684393007,11.217734331,8.632275201,10.668607256,34778995.09886281,228391982.02444103
2021-02-06,10.755446249,10.769066817,9.685676805,10.412693704,38310788.00029671,239251951.40484616
2021-02-07,10.365383324,10.450798815,9.955799856,10.083469957,21254365.77199023,236777247.40175697
2021-02-08,10.088896235,10.683727298,9.951515212,10.073637988,18747917.168369275,238196798.20641723
2021-02-09,10.160657347,11.357158905,10.040792826,11.357158905,24337405.377407555,245896558.1816134
2021-02-10,11.374488777,12.0483731,11.086864391,11.431204946,29825540.97264204,269776611.4027474
2021-02-11,11.418838675,12.606411532,11.404062645,12.606411532,19384476.92054524,274358058.3785824
2021-02-12,12.673432013,14.864100366,12.673432013,14.663302395,40729861.21184113,326623622.2373381
2021-02-13,14.644083193,15.063202089,13.919792439,14.796027372,30966887.78660707,336673402.1222709
2021-02-14,14.796027372,18.685921377,14.402891473,17.676853812,47274156.84491132,381892372.4624068
2021-02-15,17.900892888,20.088188948,16.310638846,19.134143878,83324368.81983687,439173949.5580484
2021-02-16,19.153553634,19.354628368,17.393128648,19.203727772,53459650.38584472,432850051.1082016
2021-02-17,19.168169402,19.561773854,16.847111001,17.211854253,41847025.66928826,413127214.3838904
2021-02-18,17.200068798,19.391794936,17.200068798,19.10086198,36809615.02088612,421964260.87645817
2021-02-19,19.124580694,19.124880487,17.682082995,18.376901195,33669962.57519212,432391395.8400277
2021-02-20,18.46103665,18.964918885,17.900336311,18.7220398,27262777.025556188,433109390.6604242
2021-02-21,18.749934118,26.165601514,18.560636605,21.902600049,73950315.40587157,523058236.360697
2021-02-22,21.866445377,23.212786864,18.333332584,22.620508986,93973041.07711242,501189851.9515668
2021-02-23,22.625356513,23.565955608,18.414838562,21.31859857,120175320.0376008,493640340.6743954
2021-02-24,21.31859857,23.017490133,20.038887222,20.953837394,102245752.81084616,502270652.0773396
2021-02-25,21.003040426,21.942107531,19.47508722,20.402393268,61140772.34582279,480069702.008238
2021-02-26,20.343733244,20.647768074,18.387364413,19.838251439,61796741.00966042,449960716.2301672
2021-02-27,19.838251439,21.086817569,19.693931046,20.538100258,48581709.48382959,476649697.9630615
2021-02-28,20.538100258,21.963510494,19.348519561,20.828262072,63199303.77003553,483689254.831204
2021-03-01,20.828262072,30.042991012,20.789188625,29.203293309,82335224.24514198,556615658.5437449
2021-03-02,28.592104093,30.332026131,26.860515228,29.859656594,155362726.53128117,668236512.6775336
2021-03-03,29.844455614,34.010196129,28.936097295,32.580996993,137033284.85738185,731032161.2135597
2021-03-04,32.536616865,41.13785505,31.962953708,39.106278456,199643512.42192563,854865136.5019559
2021-03-05,39.114749556,39.114749556,34.413060857,34.664052983,218616839.99050984,848545024.3849194
2021-03-06,34.588240445,35.695285373,30.819209163,34.709843932,143782437.64582747,785796383.8372995
2021-03-07,34.713590625,36.489980736,33.049196588,34.183684884,113195785.09082296,804144299.9325086
2021-03-08,34.182794884,35.588532856,31.715513408,32.100181077,94842033.39308242,781095575.0189774
2021-03-09,32.169122639,37.831813441,32.169122639,35.490921513,152941359.1406708,825330982.6770257
2021-03-10,35.562257547,35.562257547,32.964191333,34.973866416,116374372.21342944,1009950021.7038532
